,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2026-04-02 15:07:02,2026-04-02 14:09:33,8836,768.0,2888,153,9995,2380,6377,82514,2026-04-01 21:50:42,0.11.3,93775720.0,7814643.0,100.0,"An extremely fast Python package and project manager, written in Rust.",15851.0,15851.0,534.0,45,True,1,45.0
1,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-04-02 18:18:12,2026-04-02 17:59:00,14766,1333.0,1968,97,15755,1638,6257,46814,2026-04-02 18:18:12,0.15.9,4309886.0,187386.0,100.0,"An extremely fast Python linter and code formatter, written in Rust.",170703.0,170703.0,846.0,44,True,1,
2,cython,cython/cython,['written-in-cpp'],compilers,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-04-02 17:16:59,2026-04-02 17:16:59,20155,265.0,1581,232,3419,1333,2826,10677,2026-01-04 13:13:45,3.2.4,444070.0,8539.0,57.0,The most widely used Python to C compiler.,214551.0,214551.0,583.0,43,True,1,
3,maturin,PyO3/maturin,['written-in-rust'],build-tools,https://github.com/PyO3/maturin,https://github.com/PyO3/maturin,Apache-2.0,2018-07-21 21:27:46,2026-04-02 11:01:37,2026-04-02 11:01:37,3957,161.0,381,31,2042,39,794,5526,2026-03-01 14:54:54,1.12.6,6102413.0,141916.0,100.0,"Build and publish crates with pyo3, cffi and uniffi bindings as well as rust binaries as python packages.",5510.0,5510.0,205.0,36,True,1,
4,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-04-02 09:07:55,2026-04-02 09:07:53,442,113.0,275,53,494,761,1943,18145,2026-03-31 19:08:31,0.0.27,236036.0,21457.0,68.0,"An extremely fast Python type checker and language server, written in Rust.",4191.0,4191.0,41.0,35,True,1,6.0
5,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-04-02 16:46:44,2026-04-02 16:44:50,16345,1196.0,1388,171,6160,287,1038,21931,,,302.0,23.0,1.0,A Python Interpreter written in Rust.,892.0,892.0,489.0,34,True,1,
6,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-04-01 15:45:22,2026-04-01 14:51:19,2969,218.0,469,28,3113,598,1739,6738,2026-03-17 16:09:15,0.66.0,4820137.0,178523.0,100.0,"Powerful system-level package manager for Linux, macOS and Windows written in Rust building on top of the Conda..",5.0,5.0,249.0,33,True,2,
7,memray,bloomberg/memray,['written-in-cpp'],profilers,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2026-03-31 23:34:06,2026-03-13 11:03:08,1436,25.0,436,60,527,44,219,14972,2026-03-13 14:36:46,1.19.2,,,33.0,Memray is a memory profiler for Python.,2028.0,2028.0,62.0,29,True,1,
8,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,https://github.com/facebook/pyrefly,https://github.com/facebook/pyrefly,MIT,2025-02-19 21:09:33,2026-04-02 18:43:35,2026-04-02 18:40:57,12359,2441.0,296,20,1012,396,1548,5539,2026-04-01 22:04:58,0.59.1,464.0,46.0,41.0,A fast type checker and language server for Python.,,,209.0,29,True,2,
9,robyn,sparckles/Robyn,['written-in-rust'],web-servers,https://github.com/sparckles/Robyn,https://github.com/sparckles/Robyn,BSD-2-Clause,2021-06-18 09:32:00,2026-03-30 18:04:03,2026-03-28 19:28:15,793,54.0,328,51,752,126,462,7185,2026-03-28 15:57:12,0.82.1,,,100.0,Robyn is a Super Fast Async Python Web Framework with a Rust runtime.,246.0,246.0,86.0,27,True,1,
