,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2025-10-23 18:18:58,2025-10-23 14:14:30,12554,971,1577,88,13022,1579,5796,43266,2025-10-16 18:12:42,0.14.1,2923994,139237,100,"An extremely fast Python linter and code formatter, written in Rust.",128241,128241,740,44,True,1,
1,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2025-10-23 15:51:14,2025-10-23 15:48:45,7703,624,2138,134,8527,2125,5742,70762,2025-10-21 16:51:07,0.9.5,49794617,4526783,100,"An extremely fast Python package and project manager, written in Rust.",6,6,458,38,True,1,38.0
2,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2025-10-23 13:34:19,2025-10-23 13:16:43,219,63,128,53,240,425,757,13044,,,27875,5575,31,"An extremely fast Python type checker and language server, written in Rust.",367,367,24,27,True,1,
