,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2025-12-25 17:41:21,2025-12-25 17:41:19,13339,1043,1656,90,13932,1636,5957,44728,2025-12-18 19:37:41,0.14.10,3288707,156605,100,"An extremely fast Python linter and code formatter, written in Rust.",135879,135879,768,44,True,1
1,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2025-12-25 11:42:22,2025-12-25 11:42:21,8032,461,2374,142,8941,2220,6039,75639,2025-12-16 15:47:46,0.9.18,80594529,7326775,100,"An extremely fast Python package and project manager, written in Rust.",13269,13269,493,43,True,1
2,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2025-12-23 12:40:28,2025-12-23 12:38:10,2743,244,390,25,2764,503,1612,5954,2025-12-22 09:41:23,0.62.2,4015727,160629,100,Package management made easy.,5,5,227,33,True,3
3,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2025-12-24 21:29:45,2025-12-24 21:13:26,324,126,168,54,361,657,1200,15686,2025-12-24 21:29:45,0.0.7,50201,7171,48,"An extremely fast Python type checker and language server, written in Rust.",597,597,28,32,True,1
