,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-01-01 17:58:07,2026-01-01 15:01:00,13428,1085,1667,91,14046,1638,5973,44874,2025-12-18 19:37:41,0.14.10,3387823,153991,100,"An extremely fast Python linter and code formatter, written in Rust.",136796,136796,771,44,True,1
1,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2026-01-01 13:38:43,2026-01-01 13:36:23,8048,457,2388,143,8961,2231,6052,76070,2025-12-30 16:14:58,0.9.21,83359082,6946590,100,"An extremely fast Python package and project manager, written in Rust.",13312,13312,495,43,True,1
2,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2025-12-31 12:44:40,2025-12-31 09:19:28,2750,242,392,26,2774,505,1617,6011,2025-12-22 09:41:23,0.62.2,4106384,157937,100,Package management made easy.,5,5,227,33,True,3
3,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2025-12-29 18:41:50,2025-12-29 18:41:49,329,129,177,56,366,675,1252,16020,2025-12-29 13:51:24,0.0.8,55269,6908,49,"An extremely fast Python type checker and language server, written in Rust.",643,643,30,32,True,1
