,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2025-10-30 18:14:30,2025-10-30 18:14:29,12614,946,1584,88,13092,1586,5818,43441,2025-10-23 19:44:41,0.14.2,2995392,142637,100,"An extremely fast Python linter and code formatter, written in Rust.",129010,129010,741,44,True,1,
1,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2025-10-30 16:05:05,2025-10-30 14:50:26,7740,625,2170,135,8572,2139,5778,71447,2025-10-29 19:41:31,0.9.6,54212155,4928377,100,"An extremely fast Python package and project manager, written in Rust.",6,6,464,38,True,1,38.0
2,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2025-10-29 19:41:11,2025-10-29 19:22:16,224,64,132,52,247,426,782,13168,,,30709,6141,32,"An extremely fast Python type checker and language server, written in Rust.",383,383,25,27,True,1,
