,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2025-12-11 18:14:37,2025-12-11 18:04:57,13156,1026,1632,90,13706,1619,5935,44332,2025-12-04 15:14:16,0.14.8,3221584,146435,100,"An extremely fast Python linter and code formatter, written in Rust.",134081,134081,760,44,True,1
1,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2025-12-11 17:11:01,2025-12-11 17:11:01,7987,509,2319,141,8868,2198,5987,74696,2025-12-09 23:05:20,0.9.17,66422744,6038431,100,"An extremely fast Python package and project manager, written in Rust.",13140,13140,487,43,True,1
2,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2025-12-11 15:27:22,2025-12-09 22:16:30,253,61,142,53,283,543,1028,13943,,,43958,6279,40,"An extremely fast Python type checker and language server, written in Rust.",511,511,28,28,True,1
