,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2025-11-27 18:20:27,2025-11-27 18:20:02,12970,979,1618,90,13496,1608,5902,44059,2025-11-21 14:33:45,0.14.6,3181534,151501,100,"An extremely fast Python linter and code formatter, written in Rust.",132229,132229,755,44,True,1,
1,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2025-11-27 15:56:09,2025-11-27 14:17:16,7892,530,2254,142,8758,2179,5904,73743,2025-11-26 16:30:57,0.9.13,60431914,5493810,100,"An extremely fast Python package and project manager, written in Rust.",13019,13019,479,43,True,1,43.0
2,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2025-11-26 01:13:52,2025-11-26 01:13:51,241,58,137,54,267,465,922,13640,,,41678,6946,35,"An extremely fast Python type checker and language server, written in Rust.",467,467,27,28,True,1,
