,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2026-02-26 17:05:06,2026-02-26 10:29:00,8526.0,629.0,2596.0,152.0,9583.0,2349.0,6228.0,79885.0,2026-02-25 00:30:19,0.10.6,102426806.0,8535567.0,100.0,"An extremely fast Python package and project manager, written in Rust.",14993.0,14993.0,512.0,45,True,1.0,
1,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-02-26 18:41:05,2026-02-26 18:41:05,14284.0,1301.0,1786.0,97.0,15116.0,1647.0,6132.0,45970.0,2026-02-26 15:41:29,0.15.3,4125934.0,187542.0,100.0,"An extremely fast Python linter and code formatter, written in Rust.",157371.0,157371.0,818.0,44,True,1.0,
2,cython,cython/cython,['written-in-cpp'],compilers,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-02-26 09:47:16,2026-02-26 09:47:12,20073.0,285.0,1580.0,232.0,3372.0,1331.0,2816.0,10632.0,2026-01-04 13:13:45,3.2.4,424000.0,8480.0,57.0,The most widely used Python to C compiler.,213793.0,213793.0,581.0,43,True,1.0,
3,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-02-26 18:07:58,2026-02-26 18:07:57,16006.0,1156.0,1375.0,172.0,5854.0,283.0,1024.0,21822.0,,,1994.0,142.0,43.0,A Python Interpreter written in Rust.,891.0,891.0,481.0,35,True,1.0,
4,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-02-26 18:22:00,2026-02-26 18:21:58,394.0,152.0,218.0,53.0,440.0,726.0,1740.0,17410.0,2026-02-26 12:14:39,0.0.19,219412.0,24379.0,60.0,"An extremely fast Python type checker and language server, written in Rust.",2964.0,2964.0,38.0,34,True,1.0,
5,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-02-26 17:53:58,2026-02-26 15:22:48,2876.0,237.0,438.0,27.0,2961.0,581.0,1678.0,6448.0,2026-02-24 12:02:22,0.64.0,4543024.0,174731.0,100.0,Package management made easy.,5.0,5.0,241.0,33,True,2.0,
6,memray,bloomberg/memray,['written-in-cpp'],profilers,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2026-02-19 20:11:14,2026-02-16 20:00:47,1422.0,11.0,431.0,58.0,511.0,43.0,218.0,14898.0,2025-10-16 01:34:49,1.19.1,,,32.0,Memray is a memory profiler for Python.,1910.0,1910.0,61.0,29,True,1.0,
7,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,https://github.com/facebook/pyrefly,https://github.com/facebook/pyrefly,MIT,2025-02-19 21:09:33,2026-02-26 18:39:25,2026-02-26 18:36:25,11355.0,1966.0,277.0,20.0,796.0,416.0,1322.0,5409.0,2026-02-24 14:38:42,0.54.0,150.0,18.0,35.0,A fast type checker and language server for Python.,,,190.0,28,True,2.0,
8,rye,astral-sh/rye,['written-in-rust'],package-managers,https://github.com/astral-sh/rye,https://github.com/astral-sh/rye,MIT,2023-04-22 22:23:54,2026-02-05 00:39:05,2025-08-18 16:52:35,838.0,,462.0,58.0,588.0,310.0,372.0,14295.0,2025-02-26 23:56:38,0.44.0,4851911.0,147027.0,48.0,a Hassle-Free Python Experience.,1.0,1.0,111.0,26,True,3.0,
9,robyn,sparckles/Robyn,['written-in-rust'],web-servers,https://github.com/sparckles/Robyn,https://github.com/sparckles/Robyn,BSD-2-Clause,2021-06-18 09:32:00,2026-02-24 20:01:42,2026-02-22 00:25:09,771.0,34.0,321.0,51.0,720.0,129.0,447.0,7072.0,2026-02-22 00:26:32,0.79.0,,,100.0,Robyn is a Super Fast Async Python Web Framework with a Rust runtime.,243.0,243.0,84.0,26,True,1.0,
