,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2025-11-06 18:02:59,2025-11-06 16:14:40,12720,969,1591,89,13216,1585,5845,43598,2025-10-31 00:33:33,0.14.3,3100623,140937,100,"An extremely fast Python linter and code formatter, written in Rust.",129739,129739,745,44,True,1,
1,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2025-11-06 02:24:11,2025-11-05 22:52:22,7784,590,2191,136,8621,2140,5824,72093,2025-10-30 23:02:26,0.9.7,58941455,5358314,100,"An extremely fast Python package and project manager, written in Rust.",6,6,469,38,True,1,38.0
2,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2025-11-03 01:39:47,2025-11-03 01:39:45,225,60,132,54,248,442,803,13309,,,33196,5532,32,"An extremely fast Python type checker and language server, written in Rust.",403,403,25,28,True,1,1.0
