,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2025-11-13 18:02:26,2025-11-13 18:02:24,12809,995,1596,89,13312,1598,5866,43766,2025-11-06 22:15:11,0.14.4,3044629,138392,100,"An extremely fast Python linter and code formatter, written in Rust.",130499,130499,747,44,True,1
1,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2025-11-13 15:55:49,2025-11-13 15:55:48,7827,584,2215,138,8676,2156,5863,72720,2025-11-12 18:46:15,0.9.9,58389833,5308166,100,"An extremely fast Python package and project manager, written in Rust.",6,6,474,38,True,1
2,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2025-11-12 22:24:59,2025-11-12 22:24:59,230,56,134,53,255,435,847,13428,,,35291,5881,33,"An extremely fast Python type checker and language server, written in Rust.",418,418,26,28,True,1
