,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2026-02-12 18:45:06,2026-02-12 17:46:40,8424.0,591.0,2540.0,152.0,9439.0,2317.0,6189.0,79116.0,2026-02-10 19:20:40,0.10.2,92632805.0,7719400.0,100.0,"An extremely fast Python package and project manager, written in Rust.",14649.0,14649.0,510.0,45,True,1.0,1.0
1,cython,cython/cython,['written-in-cpp'],compilers,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-02-12 15:15:49,2026-02-12 14:48:37,20001.0,290.0,1578.0,231.0,3357.0,1331.0,2807.0,10610.0,2026-01-04 13:13:45,3.2.4,411935.0,8238.0,57.0,The most widely used Python to C compiler.,213527.0,213527.0,581.0,43,True,1.0,1.0
2,maturin,PyO3/maturin,['written-in-rust'],build-tools,https://github.com/PyO3/maturin,https://github.com/PyO3/maturin,Apache-2.0,2018-07-21 21:27:46,2026-02-12 18:50:38,2026-02-12 18:50:38,3853.0,100.0,374.0,32.0,1956.0,69.0,736.0,5387.0,2026-01-09 11:06:09,1.11.5,5405400.0,131839.0,100.0,"Build and publish crates with pyo3, cffi and uniffi bindings as well as rust binaries as python packages.",5077.0,5077.0,198.0,36,True,1.0,
3,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-02-12 15:19:33,2026-02-12 15:19:33,15820.0,1010.0,1373.0,172.0,5738.0,276.0,1021.0,21782.0,,,1809.0,129.0,43.0,A Python Interpreter written in Rust.,891.0,891.0,479.0,35,True,1.0,
4,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-02-11 19:36:27,2026-02-11 19:36:27,380.0,150.0,215.0,54.0,427.0,712.0,1656.0,17175.0,2026-02-10 20:25:38,0.0.16,160745.0,17860.0,57.0,"An extremely fast Python type checker and language server, written in Rust.",2467.0,2467.0,36.0,34,True,1.0,
5,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-02-12 15:02:44,2026-02-12 12:50:56,2845.0,242.0,429.0,27.0,2913.0,571.0,1667.0,6360.0,2026-01-19 15:43:02,0.63.2,4316390.0,159866.0,100.0,Package management made easy.,5.0,5.0,239.0,33,True,2.0,
6,memray,bloomberg/memray,['written-in-cpp'],profilers,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2026-02-07 06:24:55,2026-01-22 22:41:26,1419.0,13.0,430.0,58.0,508.0,43.0,217.0,14855.0,2025-10-16 01:34:49,1.19.1,,,32.0,Memray is a memory profiler for Python.,1879.0,1879.0,61.0,29,True,1.0,
7,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,https://github.com/facebook/pyrefly,https://github.com/facebook/pyrefly,MIT,2025-02-19 21:09:33,2026-02-12 17:52:23,2026-02-12 17:47:32,11094.0,2037.0,268.0,19.0,737.0,368.0,1261.0,5308.0,2026-02-10 16:21:57,0.52.0,24.0,3.0,33.0,A fast type checker and language server for Python.,,,189.0,28,True,2.0,
8,rye,astral-sh/rye,['written-in-rust'],package-managers,https://github.com/astral-sh/rye,https://github.com/astral-sh/rye,MIT,2023-04-22 22:23:54,2026-02-05 00:39:05,2025-08-18 16:52:35,838.0,,463.0,59.0,588.0,310.0,372.0,14306.0,2025-02-26 23:56:38,0.44.0,4757306.0,144160.0,48.0,a Hassle-Free Python Experience.,1.0,1.0,111.0,26,True,3.0,
9,robyn,sparckles/Robyn,['written-in-rust'],web-servers,https://github.com/sparckles/Robyn,https://github.com/sparckles/Robyn,BSD-2-Clause,2021-06-18 09:32:00,2026-02-09 23:27:38,2026-02-08 03:46:23,762.0,25.0,320.0,51.0,707.0,135.0,440.0,7046.0,2026-02-07 01:31:52,0.77.0,,,100.0,Robyn is a Super Fast Async Python Web Framework with a Rust runtime.,242.0,242.0,84.0,26,True,1.0,
10,granian,emmett-framework/granian,['written-in-rust'],web-servers,https://github.com/emmett-framework/granian,https://github.com/emmett-framework/granian,BSD-3-Clause,2022-04-15 16:41:30,2026-02-08 19:14:01,2026-02-08 18:51:49,779.0,39.0,145.0,37.0,374.0,31.0,295.0,5043.0,2026-02-08 20:03:09,2.7.1,,,100.0,A Rust HTTP server for Python applications.,996.0,996.0,44.0,26,True,1.0,
11,codon,exaloop/codon,['written-in-cpp'],compilers,https://github.com/exaloop/codon,https://github.com/exaloop/codon,Apache-2.0,2021-09-27 17:56:34,2026-02-11 20:37:08,2026-02-11 20:37:08,935.0,16.0,591.0,138.0,163.0,75.0,422.0,16601.0,2026-02-08 03:11:34,0.19.5,53694.0,1413.0,19.0,"A high-performance, zero-overhead, extensible Python compiler with built-in NumPy support.",,,20.0,25,True,3.0,
12,mamba,mamba-org/mamba,['written-in-cpp'],package-managers,https://github.com/mamba-org/mamba,https://github.com/mamba-org/mamba,BSD-3-Clause,2019-03-05 13:05:10,2026-02-11 17:13:00,2026-02-11 17:13:00,3252.0,38.0,426.0,46.0,2149.0,397.0,1608.0,7912.0,2026-01-08 20:30:21,2.5.0,,,85.0,The Fast Cross-Platform Package Manager.,,,178.0,25,True,3.0,
13,uWSGI,unbit/uwsgi,['written-in-cpp'],web-servers,https://github.com/unbit/uwsgi,https://github.com/unbit/uwsgi,,2011-10-09 07:25:31,2025-10-11 19:16:25,2025-10-11 19:11:09,6933.0,,682.0,108.0,961.0,779.0,1006.0,3545.0,,,,,,uWSGI application server container.,60702.0,60702.0,374.0,24,False,3.0,
14,pyston,pyston/pyston,['written-in-cpp'],interpreters,https://github.com/pyston/pyston,https://github.com/pyston/pyston,,2021-03-01 22:38:24,2024-08-12 16:30:59,2024-08-12 16:30:56,107480.0,,96.0,35.0,215.0,37.0,58.0,2508.0,2022-09-26 19:13:22,pyston_2.3.5,36026.0,632.0,7.0,(No longer maintained) A faster and highly-compatible implementation of the Python programming language.,,,1036.0,20,False,2.0,
15,gpython,go-python/gpython,['written-in-go'],interpreters,https://github.com/go-python/gpython,https://github.com/go-python/gpython,BSD-3-Clause,2018-08-01 20:08:19,2025-10-13 13:10:51,2025-10-13 13:10:51,586.0,,100.0,22.0,143.0,51.0,56.0,991.0,2023-06-28 08:00:04,0.2.0,999.0,11.0,6.0,gpython is a python interpreter written in go batteries not included.,229.0,229.0,24.0,20,True,2.0,
16,pylyzer,mtshiba/pylyzer,['written-in-rust'],type-checkers,https://github.com/mtshiba/pylyzer,https://github.com/mtshiba/pylyzer,MIT,2022-12-12 13:15:29,2025-05-10 02:10:33,2025-05-10 02:10:28,384.0,,41.0,15.0,11.0,27.0,92.0,2872.0,2025-02-25 08:42:22,0.0.82,37836.0,995.0,82.0,"A fast, feature-rich static code analyzer & language server for Python.",1.0,1.0,7.0,17,True,3.0,
17,zuban,zubanls/zuban,['written-in-rust'],type-checkers,https://github.com/zubanls/zuban,https://github.com/zubanls/zuban,,2024-10-14 15:53:54,2026-02-11 23:46:21,2026-02-11 23:42:46,12615.0,468.0,20.0,5.0,19.0,33.0,232.0,795.0,,,,,,Python Type Checker / Language Server.,,,6.0,16,False,3.0,
18,PyCrucible,razorblade23/PyCrucible,['written-in-rust'],build-tools,https://github.com/razorblade23/PyCrucible,https://github.com/razorblade23/PyCrucible,,2025-03-19 11:52:02,2026-02-04 23:44:06,2026-02-04 23:43:42,270.0,20.0,6.0,8.0,23.0,5.0,25.0,183.0,2026-02-04 23:44:07,0.4.3,254.0,23.0,44.0,"A robust, cross-platform builder and launcher for Python apps using UV. Built with Rust.",2.0,2.0,4.0,15,False,3.0,
19,osmium,Rexicon226/osmium,['written-in-zig'],interpreters,https://github.com/Rexicon226/osmium,https://github.com/Rexicon226/osmium,GPL-3.0,2023-12-20 18:26:16,2024-12-31 04:50:47,2024-12-31 04:49:54,142.0,,5.0,1.0,17.0,1.0,1.0,61.0,,,,,,A Python Interpreter written in Zig.,,,,5,False,3.0,
20,ruff,astral-sh/ruff,['written-in-rust'],linters,,,,,,,,,,,,,,,,,,,,,,,,0,False,,-44.0
