,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2026-04-09 18:49:13,2026-04-09 17:40:41,8890,782.0,2916,154,10082,2370,6420,82942,2026-04-09 12:12:24,0.11.6,88803995.0,7400332.0,100.0,"An extremely fast Python package and project manager, written in Rust.",16020.0,16020.0,535.0,45,True,1,45.0
1,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-04-09 18:47:37,2026-04-09 14:27:18,14850,1314.0,1990,99,15875,1641,6279,46945,2026-04-09 14:07:15,0.15.10,4418675.0,200848.0,100.0,"An extremely fast Python linter and code formatter, written in Rust.",173535.0,173535.0,850.0,44,True,1,
2,cython,cython/cython,['written-in-cpp'],compilers,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-04-08 17:10:46,2026-04-08 17:10:46,20172,259.0,1583,232,3428,1334,2826,10685,2026-01-04 13:13:45,3.2.4,450677.0,8666.0,57.0,The most widely used Python to C compiler.,214681.0,214681.0,584.0,43,True,1,
3,maturin,PyO3/maturin,['written-in-rust'],build-tools,https://github.com/PyO3/maturin,https://github.com/PyO3/maturin,Apache-2.0,2018-07-21 21:27:46,2026-04-09 14:48:44,2026-04-09 14:48:24,3966,149.0,385,31,2050,39,801,5535,2026-04-09 15:13:48,1.13.1,6223253.0,144726.0,100.0,"Build and publish crates with pyo3, cffi and uniffi bindings as well as rust binaries as python packages.",5563.0,5563.0,206.0,36,True,1,
4,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-04-08 15:05:42,2026-04-08 15:05:40,447,101.0,280,52,499,759,1984,18248,2026-04-05 15:02:18,0.0.29,246054.0,22368.0,70.0,"An extremely fast Python type checker and language server, written in Rust.",4517.0,4517.0,41.0,35,True,1,6.0
5,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-04-09 17:40:15,2026-04-09 17:40:15,16352,1159.0,1394,172,6176,288,1040,21987,,,413.0,31.0,1.0,A Python Interpreter written in Rust.,892.0,892.0,489.0,34,True,1,
6,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-04-09 15:39:08,2026-04-09 11:58:16,2993,232.0,477,28,3145,608,1744,6789,2026-04-08 14:49:40,0.67.0,5042914.0,186774.0,100.0,"Powerful system-level package manager for Linux, macOS and Windows written in Rust building on top of the Conda..",5.0,5.0,249.0,33,True,2,
7,memray,bloomberg/memray,['written-in-cpp'],profilers,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2026-04-08 19:45:21,2026-04-08 19:45:21,1449,38.0,436,60,537,43,220,14980,2026-04-08 17:49:48,1.19.3,,,34.0,Memray is a memory profiler for Python.,2039.0,2039.0,64.0,29,True,1,
8,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,https://github.com/facebook/pyrefly,https://github.com/facebook/pyrefly,MIT,2025-02-19 21:09:33,2026-04-09 18:46:57,2026-04-09 18:22:46,12499,2473.0,303,20,1052,412,1585,5569,2026-04-06 19:58:27,0.60.0,507.0,50.0,42.0,A fast type checker and language server for Python.,,,215.0,29,True,2,
9,robyn,sparckles/Robyn,['written-in-rust'],web-servers,https://github.com/sparckles/Robyn,https://github.com/sparckles/Robyn,BSD-2-Clause,2021-06-18 09:32:00,2026-04-06 18:15:59,2026-03-28 19:28:15,793,54.0,327,51,752,126,462,7193,2026-03-28 15:57:12,0.82.1,,,100.0,Robyn is a Super Fast Async Python Web Framework with a Rust runtime.,246.0,246.0,86.0,27,True,1,
10,granian,emmett-framework/granian,['written-in-rust'],web-servers,https://github.com/emmett-framework/granian,https://github.com/emmett-framework/granian,BSD-3-Clause,2022-04-15 16:41:30,2026-04-07 13:36:47,2026-04-07 13:36:43,791,32.0,149,38,389,31,306,5245,2026-04-07 11:05:48,2.7.3,,,100.0,A Rust HTTP server for Python applications.,1131.0,1131.0,45.0,27,True,1,
11,codon,exaloop/codon,['written-in-cpp'],compilers,https://github.com/exaloop/codon,https://github.com/exaloop/codon,Apache-2.0,2021-09-27 17:56:34,2026-04-06 14:30:28,2026-04-06 14:30:28,948,24.0,598,137,176,92,429,16706,2026-03-04 00:09:30,0.19.6,55027.0,1375.0,20.0,"A high-performance, zero-overhead, extensible Python compiler with built-in NumPy support.",,,21.0,26,True,3,1.0
12,rye,astral-sh/rye,['written-in-rust'],package-managers,https://github.com/astral-sh/rye,https://github.com/astral-sh/rye,MIT,2023-04-22 22:23:54,2026-02-05 00:39:05,2025-08-18 16:52:35,838,,462,59,588,310,372,14249,2025-02-26 23:56:38,0.44.0,5036524.0,143900.0,48.0,a Hassle-Free Python Experience.,1.0,1.0,111.0,26,True,3,
13,mamba,mamba-org/mamba,['written-in-cpp'],package-managers,https://github.com/mamba-org/mamba,https://github.com/mamba-org/mamba,BSD-3-Clause,2019-03-05 13:05:10,2026-04-08 14:51:16,2026-04-08 14:51:15,3297,59.0,434,45,2199,403,1617,7985,2026-01-08 20:30:21,2.5.0,,,86.0,The Fast Cross-Platform Package Manager.,,,181.0,26,True,3,
