,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-03-19 18:45:50,2026-03-19 17:22:24,14578.0,1299.0,1886.0,98.0,15487.0,1653.0,6197.0,46413.0,2026-03-19 16:28:14,0.15.7,4077525.0,185342.0,100.0,"An extremely fast Python linter and code formatter, written in Rust.",165331.0,165331.0,833.0,44,True,1.0,
1,cython,cython/cython,['written-in-cpp'],compilers,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-03-19 18:28:09,2026-03-19 18:27:28,20109.0,246.0,1583.0,231.0,3400.0,1330.0,2824.0,10656.0,2026-01-04 13:13:45,3.2.4,433899.0,8507.0,57.0,The most widely used Python to C compiler.,214239.0,214239.0,582.0,43,True,1.0,
2,maturin,PyO3/maturin,['written-in-rust'],build-tools,https://github.com/PyO3/maturin,https://github.com/PyO3/maturin,Apache-2.0,2018-07-21 21:27:46,2026-03-19 14:50:08,2026-03-19 14:49:40,3943.0,157.0,379.0,31.0,2027.0,39.0,790.0,5488.0,2026-03-01 14:54:54,1.12.6,5895260.0,140363.0,100.0,"Build and publish crates with pyo3, cffi and uniffi bindings as well as rust binaries as python packages.",5375.0,5375.0,205.0,36,True,1.0,
3,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-03-19 16:57:02,2026-03-19 16:35:12,425.0,107.0,244.0,53.0,474.0,747.0,1861.0,17814.0,2026-03-19 16:57:02,0.0.24,300368.0,30036.0,65.0,"An extremely fast Python type checker and language server, written in Rust.",3691.0,3691.0,40.0,34,True,1.0,
4,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-03-19 16:06:55,2026-03-19 14:24:07,16264.0,1264.0,1380.0,171.0,6079.0,282.0,1035.0,21891.0,,,188.0,15.0,1.0,A Python Interpreter written in Rust.,891.0,891.0,485.0,33,True,1.0,
5,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-03-19 16:23:13,2026-03-19 15:22:32,2941.0,205.0,458.0,28.0,3062.0,595.0,1716.0,6622.0,2026-03-17 16:09:15,0.66.0,4408078.0,169541.0,100.0,"Powerful system-level package manager for Linux, macOS and Windows written in Rust building on top of the Conda..",5.0,5.0,246.0,33,True,1.0,
6,memray,bloomberg/memray,['written-in-cpp'],profilers,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2026-03-13 14:06:52,2026-03-13 11:03:08,1436.0,25.0,433.0,59.0,519.0,43.0,219.0,14949.0,2026-03-13 14:36:46,1.19.2,,,33.0,Memray is a memory profiler for Python.,1985.0,1985.0,62.0,29,True,1.0,
7,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,https://github.com/facebook/pyrefly,https://github.com/facebook/pyrefly,MIT,2025-02-19 21:09:33,2026-03-19 16:32:17,2026-03-19 16:29:33,12000.0,2171.0,285.0,20.0,946.0,366.0,1483.0,5482.0,2026-03-18 20:45:50,0.57.1,317.0,35.0,39.0,A fast type checker and language server for Python.,,,196.0,29,True,2.0,
8,granian,emmett-framework/granian,['written-in-rust'],web-servers,https://github.com/emmett-framework/granian,https://github.com/emmett-framework/granian,BSD-3-Clause,2022-04-15 16:41:30,2026-03-13 16:11:51,2026-03-13 16:11:48,785.0,37.0,150.0,37.0,384.0,31.0,302.0,5174.0,2026-02-24 23:04:33,2.7.2,,,100.0,A Rust HTTP server for Python applications.,1076.0,1076.0,45.0,27,True,1.0,
9,rye,astral-sh/rye,['written-in-rust'],package-managers,https://github.com/astral-sh/rye,https://github.com/astral-sh/rye,MIT,2023-04-22 22:23:54,2026-02-05 00:39:05,2025-08-18 16:52:35,838.0,,461.0,58.0,588.0,310.0,372.0,14278.0,2025-02-26 23:56:38,0.44.0,4963616.0,145988.0,48.0,a Hassle-Free Python Experience.,1.0,1.0,111.0,26,True,3.0,
