,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,new_addition
10,granian,emmett-framework/granian,['written-in-rust'],web-servers,https://github.com/emmett-framework/granian,https://github.com/emmett-framework/granian,BSD-3-Clause,2022-04-15 16:41:30,2026-01-31 16:50:28,2026-01-31 16:50:24,769.0,38.0,143.0,36.0,368.0,30.0,289.0,4978.0,2026-01-07 11:14:47,2.6.1,,,100.0,A Rust HTTP server for Python applications.,964.0,964.0,43.0,26,True,1.0,,True
11,codon,exaloop/codon,['written-in-cpp'],compilers,https://github.com/exaloop/codon,https://github.com/exaloop/codon,Apache-2.0,2021-09-27 17:56:34,2026-01-30 03:59:14,2026-01-23 20:27:22,930.0,11.0,588.0,138.0,160.0,74.0,418.0,16582.0,2025-11-27 23:32:25,0.19.4,53275.0,1439.0,18.0,"A high-performance, zero-overhead, extensible Python compiler with built-in NumPy support.",,,19.0,25,True,3.0,,True
12,mamba,mamba-org/mamba,['written-in-cpp'],package-managers,https://github.com/mamba-org/mamba,https://github.com/mamba-org/mamba,BSD-3-Clause,2019-03-05 13:05:10,2026-01-30 08:17:09,2026-01-30 08:17:08,3251.0,37.0,425.0,46.0,2144.0,397.0,1606.0,7897.0,2026-01-08 20:30:21,2.5.0,,,85.0,The Fast Cross-Platform Package Manager.,,,178.0,25,True,3.0,,True
13,uWSGI,unbit/uwsgi,['written-in-cpp'],web-servers,https://github.com/unbit/uwsgi,https://github.com/unbit/uwsgi,,2011-10-09 07:25:31,2025-10-11 19:16:25,2025-10-11 19:11:09,6933.0,,681.0,108.0,960.0,778.0,1006.0,3542.0,,,,,,uWSGI application server container.,60668.0,60668.0,374.0,24,False,3.0,,True
14,pyston,pyston/pyston,['written-in-cpp'],interpreters,https://github.com/pyston/pyston,https://github.com/pyston/pyston,,2021-03-01 22:38:24,2024-08-12 16:30:59,2024-08-12 16:30:56,107480.0,,96.0,35.0,215.0,37.0,58.0,2508.0,2022-09-26 19:13:22,pyston_2.3.5,35829.0,639.0,7.0,(No longer maintained) A faster and highly-compatible implementation of the Python programming language.,,,1034.0,20,False,2.0,,True
15,gpython,go-python/gpython,['written-in-go'],interpreters,https://github.com/go-python/gpython,https://github.com/go-python/gpython,BSD-3-Clause,2018-08-01 20:08:19,2025-10-13 13:10:51,2025-10-13 13:10:51,586.0,,100.0,22.0,141.0,51.0,56.0,989.0,2023-06-28 08:00:04,0.2.0,999.0,11.0,6.0,gpython is a python interpreter written in go batteries not included.,229.0,229.0,24.0,20,True,2.0,,True
16,pylyzer,mtshiba/pylyzer,['written-in-rust'],type-checkers,https://github.com/mtshiba/pylyzer,https://github.com/mtshiba/pylyzer,MIT,2022-12-12 13:15:29,2025-05-10 02:10:33,2025-05-10 02:10:28,384.0,,41.0,15.0,11.0,27.0,92.0,2873.0,2025-02-25 08:42:22,0.0.82,37582.0,1015.0,82.0,"A fast, feature-rich static code analyzer & language server for Python.",1.0,1.0,7.0,17,True,3.0,,True
17,zuban,zubanls/zuban,['written-in-rust'],type-checkers,https://github.com/zubanls/zuban,https://github.com/zubanls/zuban,,2024-10-14 15:53:54,2026-01-31 19:49:55,2026-01-31 19:48:55,12546.0,475.0,19.0,4.0,17.0,36.0,219.0,773.0,,,,,,Python Type Checker / Language Server.,,,6.0,16,False,3.0,,True
18,PyCrucible,razorblade23/PyCrucible,['written-in-rust'],build-tools,https://github.com/razorblade23/PyCrucible,https://github.com/razorblade23/PyCrucible,,2025-03-19 11:52:02,2026-01-15 10:58:15,2026-01-15 09:05:24,263.0,92.0,4.0,8.0,22.0,4.0,23.0,182.0,2026-01-13 22:06:06,0.4.0,244.0,24.0,40.0,"A robust, cross-platform builder and launcher for Python apps using UV. Built with Rust.",2.0,2.0,3.0,16,False,3.0,,True
19,osmium,Rexicon226/osmium,['written-in-zig'],interpreters,https://github.com/Rexicon226/osmium,https://github.com/Rexicon226/osmium,GPL-3.0,2023-12-20 18:26:16,2024-12-31 04:50:47,2024-12-31 04:49:54,142.0,,5.0,1.0,17.0,1.0,1.0,61.0,,,,,,A Python Interpreter written in Zig.,,,,5,False,3.0,,True
20,uv,astral-sh/uv,['written-in-rust'],package-managers,,,,,,,,,,,,,,,,,,,,,,,,0,False,,-44.0,
