,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,new_addition
0,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-01-31 20:54:44,2026-01-31 15:52:05,13875.0,1194.0,1727.0,93.0,14615.0,1647.0,6055.0,45495.0,2026-01-22 22:31:25,0.14.14,3792761.0,180607.0,100.0,"An extremely fast Python linter and code formatter, written in Rust.",147527.0,147527.0,791.0,44,True,1.0,44.0,
1,cython,cython/cython,['written-in-cpp'],compilers,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-01-31 12:10:00,2026-01-31 10:52:51,19980.0,333.0,1578.0,231.0,3338.0,1321.0,2805.0,10591.0,2026-01-04 13:13:45,3.2.4,400615.0,8175.0,57.0,The most widely used Python to C compiler.,213257.0,213257.0,580.0,43,True,1.0,,True
2,maturin,PyO3/maturin,['written-in-rust'],build-tools,https://github.com/PyO3/maturin,https://github.com/PyO3/maturin,Apache-2.0,2018-07-21 21:27:46,2026-01-28 00:10:26,2026-01-28 00:10:26,3827.0,97.0,370.0,32.0,1922.0,89.0,712.0,5338.0,2026-01-09 11:06:09,1.11.5,5215096.0,130377.0,100.0,"Build and publish crates with pyo3, cffi and uniffi bindings as well as rust binaries as python packages.",4973.0,4973.0,196.0,36,True,1.0,,True
3,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-01-31 14:45:46,2026-01-31 14:45:46,15555.0,762.0,1372.0,173.0,5558.0,277.0,1018.0,21740.0,,,1659.0,127.0,43.0,A Python Interpreter written in Rust.,891.0,891.0,477.0,34,True,1.0,,True
4,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-01-30 19:24:28,2026-01-28 09:21:21,365.0,140.0,201.0,52.0,408.0,715.0,1564.0,16909.0,2026-01-27 00:58:56,0.0.14,125733.0,15716.0,55.0,"An extremely fast Python type checker and language server, written in Rust.",1943.0,1943.0,35.0,34,True,1.0,,
5,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-01-30 08:57:00,2026-01-26 14:56:15,2816.0,235.0,419.0,26.0,2872.0,556.0,1660.0,6269.0,2026-01-19 15:43:02,0.63.2,3973795.0,152838.0,100.0,Package management made easy.,5.0,5.0,236.0,33,True,1.0,,
6,memray,bloomberg/memray,['written-in-cpp'],profilers,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2026-01-22 22:41:26,2026-01-22 22:41:26,1419.0,14.0,429.0,58.0,507.0,43.0,217.0,14822.0,2025-10-16 01:34:49,1.19.1,,,32.0,Memray is a memory profiler for Python.,1848.0,1848.0,61.0,29,True,1.0,,True
7,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,https://github.com/facebook/pyrefly,https://github.com/facebook/pyrefly,MIT,2025-02-19 21:09:33,2026-01-31 17:01:58,2026-01-31 16:59:08,10621.0,1869.0,262.0,19.0,672.0,376.0,1202.0,5265.0,2026-01-28 15:42:39,0.50.0,,,31.0,A fast type checker and language server for Python.,,,183.0,28,True,2.0,,True
8,rye,astral-sh/rye,['written-in-rust'],package-managers,https://github.com/astral-sh/rye,https://github.com/astral-sh/rye,MIT,2023-04-22 22:23:54,2026-01-30 00:36:52,2025-08-18 16:52:35,838.0,,463.0,59.0,587.0,310.0,372.0,14309.0,2025-02-26 23:56:38,0.44.0,4661897.0,145684.0,48.0,a Hassle-Free Python Experience.,1.0,1.0,111.0,26,True,3.0,,True
9,robyn,sparckles/Robyn,['written-in-rust'],web-servers,https://github.com/sparckles/Robyn,https://github.com/sparckles/Robyn,BSD-2-Clause,2021-06-18 09:32:00,2026-01-31 14:54:56,2026-01-30 19:28:02,755.0,18.0,316.0,51.0,698.0,147.0,424.0,7018.0,2026-01-25 14:04:24,0.76.0,,,100.0,Robyn is a Super Fast Async Python Web Framework with a Rust runtime.,241.0,241.0,83.0,26,True,1.0,,True
