,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2026-05-14 19:24:47,2026-05-14 18:10:48,9104,671.0,3096,164,10395,2329,6594,84920,2026-05-12 18:04:36,0.11.14,88485312.0,7373776.0,100.0,"An extremely fast Python package and project manager, written in Rust.",16871.0,16871.0,541.0,45,True,1,
1,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-05-14 19:27:01,2026-05-14 17:03:03,15214,1108.0,2073,101,16423,1678,6327,47519,2026-05-14 13:45:27,0.15.13,5571667.0,242246.0,100.0,"An extremely fast Python linter and code formatter, written in Rust.",187052.0,187052.0,867.0,44,True,1,
2,cython,cython/cython,['written-in-cpp'],compilers,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-05-14 11:44:07,2026-05-14 07:19:41,20253,240.0,1584,231,3485,1345,2834,10728,2026-01-04 13:13:45,3.2.4,486753.0,9184.0,57.0,The most widely used Python to C compiler.,215414.0,215414.0,586.0,43,True,1,
3,maturin,PyO3/maturin,['written-in-rust'],build-tools,https://github.com/PyO3/maturin,https://github.com/PyO3/maturin,Apache-2.0,2018-07-21 21:27:46,2026-05-14 01:39:37,2026-05-14 01:39:36,4009,151.0,398,31,2092,32,823,5589,2026-05-11 06:54:20,1.13.3,6867341.0,159705.0,100.0,"Build and publish crates with pyo3, cffi and uniffi bindings as well as rust binaries as python packages.",5842.0,5842.0,213.0,36,True,1,
4,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-05-13 01:04:16,2026-05-13 01:04:14,480,99.0,290,53,535,789,2134,18629,2026-05-10 18:26:11,0.0.35,281431.0,23452.0,76.0,"An extremely fast Python type checker and language server, written in Rust.",5805.0,5805.0,43.0,35,True,1,
5,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-05-14 04:13:41,2026-05-14 04:13:41,16617,755.0,1407,171,6459,279,1062,22046,,,815.0,58.0,1.0,A Python Interpreter written in Rust.,896.0,896.0,495.0,33,True,1,
6,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-05-14 05:31:18,2026-05-14 05:28:35,3134,284.0,510,29,3323,599,1831,7048,2026-05-12 10:53:06,0.68.1,5758637.0,213282.0,100.0,"Powerful system-level package manager for Linux, macOS and Windows written in Rust building on top of the Conda..",5.0,5.0,265.0,33,True,2,
7,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,https://github.com/facebook/pyrefly,https://github.com/facebook/pyrefly,MIT,2025-02-19 21:09:33,2026-05-14 18:49:09,2026-05-14 18:46:21,13180,2033.0,333,21,1178,437,1745,5822,2026-05-12 20:13:51,1.0.0,961.0,87.0,53.0,A fast type checker and language server for Python.,,,238.0,30,True,2,1.0
8,memray,bloomberg/memray,['written-in-cpp'],profilers,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2026-05-10 20:34:29,2026-05-10 20:34:29,1459,40.0,439,61,548,35,228,15028,2026-04-08 17:49:48,1.19.3,,,34.0,Memray is a memory profiler for Python.,2109.0,2109.0,65.0,29,True,1,
9,granian,emmett-framework/granian,['written-in-rust'],web-servers,https://github.com/emmett-framework/granian,https://github.com/emmett-framework/granian,BSD-3-Clause,2022-04-15 16:41:30,2026-04-23 11:08:37,2026-04-23 10:39:24,795,16.0,153,39,391,33,310,5345,2026-04-23 12:28:01,2.7.4,,,100.0,A Rust HTTP server for Python applications.,1196.0,1196.0,45.0,27,True,1,
10,codon,exaloop/codon,['written-in-cpp'],compilers,https://github.com/exaloop/codon,https://github.com/exaloop/codon,Apache-2.0,2021-09-27 17:56:34,2026-05-14 16:18:18,2026-05-07 22:59:27,954,19.0,604,137,185,95,433,16769,2026-03-04 00:09:30,0.19.6,56865.0,1386.0,20.0,"A high-performance, zero-overhead, extensible Python compiler with built-in NumPy support.",,,21.0,26,True,3,
