,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2026-04-23 18:54:22,2026-04-23 16:17:32,8977,702.0,2970,161,10206,2321,6522,83799,2026-04-15 21:47:07,0.11.7,106121849.0,8843487.0,100.0,"An extremely fast Python package and project manager, written in Rust.",16352.0,16352.0,537.0,45,True,1
1,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-04-23 17:29:49,2026-04-23 17:29:46,15026,1252.0,2013,103,16128,1654,6297,47220,2026-04-16 18:47:31,0.15.11,4904101.0,222913.0,100.0,"An extremely fast Python linter and code formatter, written in Rust.",179069.0,179069.0,857.0,44,True,1
2,cython,cython/cython,['written-in-cpp'],compilers,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-04-23 09:34:00,2026-04-23 09:33:57,20188,234.0,1582,231,3443,1335,2828,10700,2026-01-04 13:13:45,3.2.4,465234.0,8946.0,57.0,The most widely used Python to C compiler.,214964.0,214964.0,585.0,43,True,1
3,maturin,PyO3/maturin,['written-in-rust'],build-tools,https://github.com/PyO3/maturin,https://github.com/PyO3/maturin,Apache-2.0,2018-07-21 21:27:46,2026-04-22 11:18:39,2026-04-22 11:18:39,3982,157.0,388,31,2065,36,811,5564,2026-04-09 15:13:48,1.13.1,6483823.0,150786.0,100.0,"Build and publish crates with pyo3, cffi and uniffi bindings as well as rust binaries as python packages.",5692.0,5692.0,208.0,36,True,1
4,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-04-22 14:08:47,2026-04-22 14:08:45,461,101.0,282,55,514,768,2032,18407,2026-04-20 19:30:00,0.0.32,275015.0,25001.0,73.0,"An extremely fast Python type checker and language server, written in Rust.",5065.0,5065.0,41.0,35,True,1
5,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-04-23 18:16:08,2026-04-23 17:01:17,16430,966.0,1400,172,6257,283,1052,22024,,,679.0,52.0,1.0,A Python Interpreter written in Rust.,893.0,893.0,492.0,34,True,1
6,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-04-23 18:13:50,2026-04-23 08:40:37,3036,227.0,491,27,3201,609,1773,6887,2026-04-23 10:04:55,0.67.2,5258133.0,202235.0,100.0,"Powerful system-level package manager for Linux, macOS and Windows written in Rust building on top of the Conda..",5.0,5.0,257.0,33,True,2
7,memray,bloomberg/memray,['written-in-cpp'],profilers,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2026-04-08 19:45:21,2026-04-08 19:45:21,1449,30.0,436,60,537,43,220,14994,2026-04-08 17:49:48,1.19.3,,,34.0,Memray is a memory profiler for Python.,2078.0,2078.0,64.0,29,True,1
8,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,https://github.com/facebook/pyrefly,https://github.com/facebook/pyrefly,MIT,2025-02-19 21:09:33,2026-04-23 18:43:22,2026-04-23 18:32:14,12709,2253.0,314,20,1108,433,1635,5624,2026-04-20 17:13:12,0.62.0,580.0,58.0,47.0,A fast type checker and language server for Python.,,,223.0,29,True,2
9,robyn,sparckles/Robyn,['written-in-rust'],web-servers,https://github.com/sparckles/Robyn,https://github.com/sparckles/Robyn,BSD-2-Clause,2021-06-18 09:32:00,2026-04-23 12:39:13,2026-04-23 12:39:11,798,46.0,327,51,769,124,466,7212,2026-04-13 22:30:36,0.83.0,,,100.0,Robyn is a Super Fast Async Python Web Framework with a Rust runtime.,248.0,248.0,86.0,27,True,1
10,granian,emmett-framework/granian,['written-in-rust'],web-servers,https://github.com/emmett-framework/granian,https://github.com/emmett-framework/granian,BSD-3-Clause,2022-04-15 16:41:30,2026-04-23 11:08:37,2026-04-23 10:39:24,795,36.0,149,39,389,31,309,5300,2026-04-23 12:28:01,2.7.4,,,100.0,A Rust HTTP server for Python applications.,1159.0,1159.0,45.0,27,True,1
11,codon,exaloop/codon,['written-in-cpp'],compilers,https://github.com/exaloop/codon,https://github.com/exaloop/codon,Apache-2.0,2021-09-27 17:56:34,2026-04-21 18:29:41,2026-04-11 17:29:27,949,19.0,599,137,177,92,430,16729,2026-03-04 00:09:30,0.19.6,55511.0,1387.0,20.0,"A high-performance, zero-overhead, extensible Python compiler with built-in NumPy support.",,,21.0,26,True,3
12,rye,astral-sh/rye,['written-in-rust'],package-managers,https://github.com/astral-sh/rye,https://github.com/astral-sh/rye,MIT,2023-04-22 22:23:54,2026-02-05 00:39:05,2025-08-18 16:52:35,838,,462,59,588,310,372,14242,2025-02-26 23:56:38,0.44.0,5081901.0,145197.0,48.0,a Hassle-Free Python Experience.,1.0,1.0,111.0,26,True,3
13,mamba,mamba-org/mamba,['written-in-cpp'],package-managers,https://github.com/mamba-org/mamba,https://github.com/mamba-org/mamba,BSD-3-Clause,2019-03-05 13:05:10,2026-04-23 12:05:04,2026-04-23 12:05:03,3311,63.0,435,45,2207,404,1619,7993,2026-01-08 20:30:21,2.5.0,,,88.0,The Fast Cross-Platform Package Manager.,,,181.0,26,True,3
14,uWSGI,unbit/uwsgi,['written-in-cpp'],web-servers,https://github.com/unbit/uwsgi,https://github.com/unbit/uwsgi,,2011-10-09 07:25:31,2025-10-11 19:16:25,2025-10-11 19:11:09,6933,,680,109,965,784,1007,3544,,,,,,uWSGI application server container.,60848.0,60848.0,375.0,24,False,3
15,gpython,go-python/gpython,['written-in-go'],interpreters,https://github.com/go-python/gpython,https://github.com/go-python/gpython,BSD-3-Clause,2018-08-01 20:08:19,2026-03-02 13:02:41,2026-03-02 13:02:41,590,4.0,104,22,147,48,59,1001,2023-06-28 08:00:04,0.2.0,1020.0,11.0,6.0,gpython is a python interpreter written in go batteries not included.,235.0,235.0,24.0,21,True,2
16,pyston,pyston/pyston,['written-in-cpp'],interpreters,https://github.com/pyston/pyston,https://github.com/pyston/pyston,,2021-03-01 22:38:24,2024-08-12 16:30:59,2024-08-12 16:30:56,107480,,94,35,215,37,59,2509,2022-09-26 19:13:22,pyston_2.3.5,37237.0,631.0,7.0,(No longer maintained) A faster and highly-compatible implementation of the Python programming language.,,,1036.0,20,False,3
17,zuban,zubanls/zuban,['written-in-rust'],type-checkers,https://github.com/zubanls/zuban,https://github.com/zubanls/zuban,,2024-10-14 15:53:54,2026-04-23 15:31:12,2026-04-23 15:31:00,12966,465.0,32,5,26,54,319,1005,2026-04-06 00:09:59,0.7.0,,,1.0,Python Type Checker / Language Server.,,,9.0,19,False,3
18,pylyzer,mtshiba/pylyzer,['written-in-rust'],type-checkers,https://github.com/mtshiba/pylyzer,https://github.com/mtshiba/pylyzer,MIT,2022-12-12 13:15:29,2025-05-10 02:10:33,2025-05-10 02:10:28,384,,42,14,11,13,106,2868,2025-02-25 08:42:22,0.0.82,38831.0,970.0,82.0,"A fast, feature-rich static code analyzer & language server for Python.",1.0,1.0,7.0,17,True,3
19,PyCrucible,razorblade23/PyCrucible,['written-in-rust'],build-tools,https://github.com/razorblade23/PyCrucible,https://github.com/razorblade23/PyCrucible,,2025-03-19 11:52:02,2026-04-13 18:04:06,2026-04-13 18:04:06,283,20.0,6,7,24,7,28,194,2026-03-22 08:09:57,0.4.6-fix1,327.0,25.0,48.0,"A robust, cross-platform builder and launcher for Python apps using UV. Built with Rust.",2.0,2.0,4.0,15,False,3
20,osmium,Rexicon226/osmium,['written-in-zig'],interpreters,https://github.com/Rexicon226/osmium,https://github.com/Rexicon226/osmium,GPL-3.0,2023-12-20 18:26:16,2024-12-31 04:50:47,2024-12-31 04:49:54,142,,5,1,17,1,1,63,,,,,,A Python Interpreter written in Zig.,,,,5,False,3
