,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2026-03-12 18:05:04,2026-03-12 15:48:26,8643,650.0,2659,154,9733,2344,6297,80811,2026-03-06 21:24:15,0.10.9,105277087.0,8773090.0,100.0,"An extremely fast Python package and project manager, written in Rust.",15318.0,15318.0,523.0,45,True,1,
1,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-03-12 18:30:00,2026-03-12 16:40:35,14488,1307.0,1831,97,15380,1646,6182,46246,2026-03-05 20:08:25,0.15.5,4391928.0,199633.0,100.0,"An extremely fast Python linter and code formatter, written in Rust.",162557.0,162557.0,826.0,44,True,1,
2,cython,cython/cython,['written-in-cpp'],compilers,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-03-09 22:36:23,2026-03-09 22:36:23,20100,262.0,1583,231,3384,1330,2821,10647,2026-01-04 13:13:45,3.2.4,432586.0,8482.0,57.0,The most widely used Python to C compiler.,214064.0,214064.0,581.0,43,True,1,
3,maturin,PyO3/maturin,['written-in-rust'],build-tools,https://github.com/PyO3/maturin,https://github.com/PyO3/maturin,Apache-2.0,2018-07-21 21:27:46,2026-03-12 15:03:23,2026-03-12 15:03:23,3936,152.0,380,32,2023,40,786,5473,2026-03-01 14:54:54,1.12.6,5827396.0,138747.0,100.0,"Build and publish crates with pyo3, cffi and uniffi bindings as well as rust binaries as python packages.",5298.0,5298.0,205.0,36,True,1,
4,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-03-12 17:41:46,2026-03-12 17:23:24,410,154.0,227,53,460,746,1822,17662,2026-03-12 17:41:47,0.0.22,279837.0,27983.0,63.0,"An extremely fast Python type checker and language server, written in Rust.",3429.0,3429.0,39.0,34,True,1,
5,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-03-12 17:36:32,2026-03-12 16:21:18,16213,1239.0,1378,171,6030,282,1032,21875,,,128.0,10.0,1.0,A Python Interpreter written in Rust.,891.0,891.0,485.0,33,True,1,-2.0
6,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-03-12 15:41:55,2026-03-10 16:25:43,2900,195.0,455,28,3017,587,1706,6556,2026-02-27 07:29:37,0.65.0,4713976.0,181306.0,100.0,"Powerful system-level package manager for Linux, macOS and Windows written in Rust building on top of the Conda..",5.0,5.0,243.0,33,True,2,
7,memray,bloomberg/memray,['written-in-cpp'],profilers,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2026-03-12 17:36:34,2026-03-12 17:36:34,1435,24.0,432,58,519,43,218,14931,2025-10-16 01:34:49,1.19.1,,,32.0,Memray is a memory profiler for Python.,1945.0,1945.0,62.0,29,True,1,
8,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,https://github.com/facebook/pyrefly,https://github.com/facebook/pyrefly,MIT,2025-02-19 21:09:33,2026-03-12 18:39:32,2026-03-12 18:35:52,11814,2102.0,283,20,923,393,1436,5459,2026-03-11 13:57:32,0.56.0,276.0,30.0,37.0,A fast type checker and language server for Python.,,,195.0,29,True,2,1.0
9,granian,emmett-framework/granian,['written-in-rust'],web-servers,https://github.com/emmett-framework/granian,https://github.com/emmett-framework/granian,BSD-3-Clause,2022-04-15 16:41:30,2026-03-01 10:42:49,2026-02-24 21:41:41,784,36.0,149,37,384,31,302,5149,2026-02-24 23:04:33,2.7.2,,,100.0,A Rust HTTP server for Python applications.,1060.0,1060.0,45.0,27,True,1,1.0
10,rye,astral-sh/rye,['written-in-rust'],package-managers,https://github.com/astral-sh/rye,https://github.com/astral-sh/rye,MIT,2023-04-22 22:23:54,2026-02-05 00:39:05,2025-08-18 16:52:35,838,,462,58,588,310,372,14284,2025-02-26 23:56:38,0.44.0,4933774.0,145111.0,48.0,a Hassle-Free Python Experience.,1.0,1.0,111.0,26,True,3,
11,mamba,mamba-org/mamba,['written-in-cpp'],package-managers,https://github.com/mamba-org/mamba,https://github.com/mamba-org/mamba,BSD-3-Clause,2019-03-05 13:05:10,2026-03-12 09:26:52,2026-03-12 09:26:52,3272,43.0,428,46,2171,401,1611,7950,2026-01-08 20:30:21,2.5.0,,,85.0,The Fast Cross-Platform Package Manager.,,,179.0,26,True,3,1.0
12,robyn,sparckles/Robyn,['written-in-rust'],web-servers,https://github.com/sparckles/Robyn,https://github.com/sparckles/Robyn,BSD-2-Clause,2021-06-18 09:32:00,2026-03-11 20:40:27,2026-03-05 20:55:54,774,36.0,324,51,727,128,449,7117,2026-03-06 00:21:48,0.80.0,,,100.0,Robyn is a Super Fast Async Python Web Framework with a Rust runtime.,244.0,244.0,84.0,26,True,3,
13,codon,exaloop/codon,['written-in-cpp'],compilers,https://github.com/exaloop/codon,https://github.com/exaloop/codon,Apache-2.0,2021-09-27 17:56:34,2026-03-04 00:09:22,2026-03-03 21:48:01,943,19.0,593,138,168,88,423,16672,2026-03-04 00:09:30,0.19.6,54502.0,1397.0,20.0,"A high-performance, zero-overhead, extensible Python compiler with built-in NumPy support.",,,20.0,25,True,3,
14,uWSGI,unbit/uwsgi,['written-in-cpp'],web-servers,https://github.com/unbit/uwsgi,https://github.com/unbit/uwsgi,,2011-10-09 07:25:31,2025-10-11 19:16:25,2025-10-11 19:11:09,6933,,681,109,963,779,1006,3544,,,,,,uWSGI application server container.,60764.0,60764.0,374.0,24,False,3,
15,gpython,go-python/gpython,['written-in-go'],interpreters,https://github.com/go-python/gpython,https://github.com/go-python/gpython,BSD-3-Clause,2018-08-01 20:08:19,2026-03-02 13:02:41,2026-03-02 13:02:41,590,4.0,101,22,146,48,59,994,2023-06-28 08:00:04,0.2.0,999.0,10.0,6.0,gpython is a python interpreter written in go batteries not included.,230.0,230.0,24.0,21,True,2,1.0
16,pyston,pyston/pyston,['written-in-cpp'],interpreters,https://github.com/pyston/pyston,https://github.com/pyston/pyston,,2021-03-01 22:38:24,2024-08-12 16:30:59,2024-08-12 16:30:56,107480,,94,35,215,37,58,2507,2022-09-26 19:13:22,pyston_2.3.5,36553.0,630.0,7.0,(No longer maintained) A faster and highly-compatible implementation of the Python programming language.,,,1036.0,20,False,3,
17,pylyzer,mtshiba/pylyzer,['written-in-rust'],type-checkers,https://github.com/mtshiba/pylyzer,https://github.com/mtshiba/pylyzer,MIT,2022-12-12 13:15:29,2025-05-10 02:10:33,2025-05-10 02:10:28,384,,41,15,11,27,92,2872,2025-02-25 08:42:22,0.0.82,38348.0,983.0,82.0,"A fast, feature-rich static code analyzer & language server for Python.",1.0,1.0,7.0,17,True,3,
18,zuban,zubanls/zuban,['written-in-rust'],type-checkers,https://github.com/zubanls/zuban,https://github.com/zubanls/zuban,,2024-10-14 15:53:54,2026-03-12 14:01:13,2026-03-12 11:22:27,12760,425.0,21,6,20,42,260,819,,,,,,Python Type Checker / Language Server.,,,6.0,17,False,3,1.0
19,PyCrucible,razorblade23/PyCrucible,['written-in-rust'],build-tools,https://github.com/razorblade23/PyCrucible,https://github.com/razorblade23/PyCrucible,,2025-03-19 11:52:02,2026-03-12 17:02:33,2026-03-12 17:02:32,276,21.0,6,7,24,7,27,191,2026-02-26 23:20:50,0.4.4,284.0,23.0,45.0,"A robust, cross-platform builder and launcher for Python apps using UV. Built with Rust.",2.0,2.0,4.0,15,False,3,
20,osmium,Rexicon226/osmium,['written-in-zig'],interpreters,https://github.com/Rexicon226/osmium,https://github.com/Rexicon226/osmium,GPL-3.0,2023-12-20 18:26:16,2024-12-31 04:50:47,2024-12-31 04:49:54,142,,5,1,17,1,1,61,,,,,,A Python Interpreter written in Zig.,,,,5,False,3,
