,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2026-05-28 19:58:37,2026-05-28 19:58:35,9212,678.0,3128,169,10549,2327,6650,85669,2026-05-21 22:11:32,0.11.16,93037596.0,7753133.0,100.0,"An extremely fast Python package and project manager, written in Rust.",17212.0,17212.0,549.0,46,True,1,1.0
1,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-05-28 19:37:17,2026-05-28 18:57:47,15368,1055.0,2087,103,16660,1678,6360,47720,2026-05-28 14:18:02,0.15.15,5817410.0,264427.0,100.0,"An extremely fast Python linter and code formatter, written in Rust.",192727.0,192727.0,882.0,44,True,1,
2,cython,cython/cython,['written-in-cpp'],compilers,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-05-25 11:16:53,2026-05-25 11:16:52,20287,214.0,1582,231,3511,1347,2839,10756,2026-05-23 19:29:49,3.2.5,487139.0,9191.0,58.0,The most widely used Python to C compiler.,215650.0,215650.0,586.0,43,True,1,
3,maturin,PyO3/maturin,['written-in-rust'],build-tools,https://github.com/PyO3/maturin,https://github.com/PyO3/maturin,Apache-2.0,2018-07-21 21:27:46,2026-05-28 11:09:54,2026-05-28 11:09:53,4019,112.0,404,31,2102,36,827,5618,2026-05-11 06:54:20,1.13.3,7146494.0,166197.0,100.0,"Build and publish crates with pyo3, cffi and uniffi bindings as well as rust binaries as python packages.",5952.0,5952.0,214.0,36,True,1,
4,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-05-27 18:17:23,2026-05-27 18:17:20,494,99.0,296,54,553,759,2255,18776,2026-05-27 17:56:58,0.0.40,244828.0,20402.0,81.0,"An extremely fast Python type checker and language server, written in Rust.",6359.0,6359.0,45.0,35,True,1,
5,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-05-28 06:37:44,2026-05-28 06:37:44,16720,669.0,1412,170,6569,280,1067,22083,,,928.0,66.0,1.0,A Python Interpreter written in Rust.,896.0,896.0,497.0,33,True,1,
6,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-05-28 14:59:21,2026-05-28 13:47:28,3200,321.0,525,30,3400,509,1951,7191,2026-05-21 09:38:24,0.69.0,6202380.0,229717.0,100.0,"Powerful system-level package manager for Linux, macOS and Windows written in Rust building on top of the Conda..",5.0,5.0,269.0,33,True,2,
7,memray,bloomberg/memray,['written-in-cpp'],profilers,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2026-05-26 22:53:47,2026-05-26 22:53:46,1472,50.0,449,61,565,29,244,15062,2026-04-08 17:49:48,1.19.3,,,34.0,Memray is a memory profiler for Python.,2136.0,2136.0,71.0,30,True,1,1.0
8,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,https://github.com/facebook/pyrefly,https://github.com/facebook/pyrefly,MIT,2025-02-19 21:09:33,2026-05-28 19:20:32,2026-05-28 19:17:23,13446,2036.0,386,21,1275,473,1814,6547,2026-05-12 20:13:51,1.0.0,1353.0,123.0,54.0,A fast type checker and language server for Python.,,,253.0,30,True,2,
9,granian,emmett-framework/granian,['written-in-rust'],web-servers,https://github.com/emmett-framework/granian,https://github.com/emmett-framework/granian,BSD-3-Clause,2022-04-15 16:41:30,2026-05-28 14:27:06,2026-05-28 10:52:00,801,17.0,154,39,394,33,312,5381,2026-05-28 15:25:43,2.7.5,,,100.0,A Rust HTTP server for Python applications.,1232.0,1232.0,47.0,27,True,1,
10,codon,exaloop/codon,['written-in-cpp'],compilers,https://github.com/exaloop/codon,https://github.com/exaloop/codon,Apache-2.0,2021-09-27 17:56:34,2026-05-27 20:10:17,2026-05-25 15:26:39,956,18.0,603,137,194,94,436,16780,2026-03-04 00:09:30,0.19.6,57587.0,1404.0,20.0,"A high-performance, zero-overhead, extensible Python compiler with built-in NumPy support.",,,21.0,26,True,3,
11,mamba,mamba-org/mamba,['written-in-cpp'],package-managers,https://github.com/mamba-org/mamba,https://github.com/mamba-org/mamba,BSD-3-Clause,2019-03-05 13:05:10,2026-05-28 14:44:27,2026-05-28 14:44:26,3344,82.0,433,45,2245,402,1644,8020,2026-05-19 17:02:20,2.6.2,,,94.0,The Fast Cross-Platform Package Manager.,,,182.0,26,True,3,
12,robyn,sparckles/Robyn,['written-in-rust'],web-servers,https://github.com/sparckles/Robyn,https://github.com/sparckles/Robyn,BSD-2-Clause,2021-06-18 09:32:00,2026-05-25 18:16:55,2026-05-23 14:18:37,803,30.0,331,51,776,122,469,7245,2026-04-29 22:20:32,0.85.0,,,100.0,Robyn is a Super Fast Async Python Web Framework with a Rust runtime.,252.0,252.0,88.0,26,True,3,
13,rye,astral-sh/rye,['written-in-rust'],package-managers,https://github.com/astral-sh/rye,https://github.com/astral-sh/rye,MIT,2023-04-22 22:23:54,2026-02-05 00:39:05,2025-08-18 16:52:35,838,,467,59,588,310,372,14216,2025-02-26 23:56:38,0.44.0,5189137.0,144142.0,48.0,a Hassle-Free Python Experience.,1.0,1.0,111.0,25,True,3,
14,uWSGI,unbit/uwsgi,['written-in-cpp'],web-servers,https://github.com/unbit/uwsgi,https://github.com/unbit/uwsgi,,2011-10-09 07:25:31,2025-10-11 19:16:25,2025-10-11 19:11:09,6933,,682,108,971,794,1008,3547,,,,,,uWSGI application server container.,60922.0,60922.0,375.0,24,False,3,
15,pyston,pyston/pyston,['written-in-cpp'],interpreters,https://github.com/pyston/pyston,https://github.com/pyston/pyston,,2021-03-01 22:38:24,2024-08-12 16:30:59,2024-08-12 16:30:56,107480,,96,35,217,37,59,2504,2022-09-26 19:13:22,pyston_2.3.5,37396.0,623.0,7.0,(No longer maintained) A faster and highly-compatible implementation of the Python programming language.,,,1039.0,20,False,2,
16,zuban,zubanls/zuban,['written-in-rust'],type-checkers,https://github.com/zubanls/zuban,https://github.com/zubanls/zuban,,2024-10-14 15:53:54,2026-05-27 20:55:11,2026-05-05 08:39:06,12991,283.0,35,6,27,80,326,1061,2026-05-03 15:36:46,0.7.2,,,3.0,Python Type Checker / Language Server.,,,10.0,20,False,3,
17,gpython,go-python/gpython,['written-in-go'],interpreters,https://github.com/go-python/gpython,https://github.com/go-python/gpython,BSD-3-Clause,2018-08-01 20:08:19,2026-03-02 13:02:41,2026-03-02 13:02:41,590,1.0,106,23,147,48,59,1008,2023-06-28 08:00:04,0.2.0,1021.0,10.0,6.0,gpython is a python interpreter written in go batteries not included.,237.0,237.0,24.0,20,True,2,-1.0
