,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,new_addition
0,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2025-12-18 18:05:03,2025-12-18 18:05:02,13253,1024,1638,91,13816,1621,5949,44523,2025-12-11 21:46:52,0.14.9,3288395,156590,100,"An extremely fast Python linter and code formatter, written in Rust.",135046,135046,764,44,True,1,44.0,
1,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2025-12-18 17:29:50,2025-12-18 17:29:48,8021,481,2346,140,8915,2209,6019,75195,2025-12-16 15:47:46,0.9.18,73089195,6644472,100,"An extremely fast Python package and project manager, written in Rust.",13211,13211,491,43,True,1,,
2,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2025-12-18 15:55:28,2025-12-18 14:05:19,2735,256,387,25,2743,490,1609,5918,2025-12-18 15:54:51,0.62.1,3952845,152032,100,Package management made easy.,5,5,227,33,True,3,,True
3,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2025-12-18 13:04:53,2025-12-18 13:04:51,317,121,152,53,351,614,1114,14717,2025-12-18 02:17:51,0.0.3,46449,6635,44,"An extremely fast Python type checker and language server, written in Rust.",548,548,28,32,True,1,4.0,
