,name,github_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,description,projectrank,show,projectrank_placing,trending
0,ruff,astral-sh/ruff,['written-in-rust'],linters,{},215083.0,215083.0,927.0,,10,False,1.0,-34.0
1,cython,cython/cython,['written-in-cpp'],compilers,{},216856.0,216856.0,593.0,,10,False,1.0,-32.0
2,uv,astral-sh/uv,['written-in-rust'],package-managers,{},18413.0,18413.0,573.0,,9,False,1.0,9.0
3,uWSGI,unbit/uwsgi,['written-in-cpp'],web-servers,{},61034.0,61034.0,375.0,,9,False,1.0,
4,maturin,PyO3/maturin,['written-in-rust'],build-tools,{},6448.0,6448.0,220.0,,8,False,1.0,-28.0
5,ty,astral-sh/ty,['written-in-rust'],type-checkers,{},8414.0,8414.0,49.0,,7,False,1.0,
6,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,{},896.0,896.0,514.0,,7,False,1.0,
7,granian,emmett-framework/granian,['written-in-rust'],web-servers,{},1391.0,1391.0,47.0,,6,False,3.0,
8,robyn,sparckles/Robyn,['written-in-rust'],web-servers,{},258.0,258.0,90.0,,5,False,3.0,
9,gpython,go-python/gpython,['written-in-go'],interpreters,{},249.0,249.0,24.0,,5,False,3.0,
10,pyflow,David-OConnor/pyflow,['written-in-rust'],package-managers,{},44.0,44.0,30.0,,4,False,2.0,
11,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,{},5.0,5.0,278.0,,3,False,3.0,-30.0
12,memray,bloomberg/memray,['written-in-cpp'],profilers,{},24.0,24.0,72.0,,3,False,1.0,
13,mamba,mamba-org/mamba,['written-in-cpp'],package-managers,{},,,183.0,,2,False,3.0,
14,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,{},,,292.0,,2,False,3.0,-29.0
15,pyston,pyston/pyston,['written-in-cpp'],interpreters,{},,,1039.0,,2,False,3.0,
16,rye,astral-sh/rye,['written-in-rust'],package-managers,{},,,111.0,,1,False,3.0,
17,PyCrucible,razorblade23/PyCrucible,['written-in-rust'],build-tools,{},3.0,3.0,4.0,,1,False,3.0,
18,codon,exaloop/codon,['written-in-cpp'],compilers,{},,,21.0,,1,False,3.0,
19,zuban,zubanls/zuban,['written-in-rust'],type-checkers,{},,,13.0,,0,False,,
20,pylyzer,mtshiba/pylyzer,['written-in-rust'],type-checkers,{},1.0,1.0,7.0,,0,False,,
21,osmium,Rexicon226/osmium,['written-in-zig'],interpreters,{},,,,,0,False,,
