,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2026-06-04 19:30:49,2026-06-04 17:44:10,9247,635.0,3159,170,10606,2328,6670,85976,2026-06-03 22:38:57,0.11.19,90369493.0,7530791.0,100.0,"An extremely fast Python package and project manager, written in Rust.",17353.0,17353.0,553.0,46,True,1,1.0
1,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-06-04 19:48:08,2026-06-04 19:48:08,15477,1059.0,2114,104,16846,1658,6396,47814,2026-06-04 16:34:11,0.15.16,5755737.0,250249.0,100.0,"An extremely fast Python linter and code formatter, written in Rust.",195342.0,195342.0,895.0,44,True,1,
2,cython,cython/cython,['written-in-cpp'],compilers,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-06-03 09:19:52,2026-06-02 14:22:44,20297,200.0,1582,231,3522,1348,2839,10761,2026-05-23 19:29:49,3.2.5,494584.0,9158.0,58.0,The most widely used Python to C compiler.,215775.0,215775.0,587.0,43,True,1,
3,maturin,PyO3/maturin,['written-in-rust'],build-tools,https://github.com/PyO3/maturin,https://github.com/PyO3/maturin,Apache-2.0,2018-07-21 21:27:46,2026-06-03 23:27:20,2026-06-03 23:27:20,4025,105.0,403,31,2108,36,828,5631,2026-05-11 06:54:20,1.13.3,7283529.0,165534.0,100.0,"Build and publish crates with pyo3, cffi and uniffi bindings as well as rust binaries as python packages.",6023.0,6023.0,214.0,36,True,1,
4,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-06-04 00:53:34,2026-06-04 00:37:09,506,100.0,296,54,564,775,2318,18838,2026-06-04 00:53:34,0.0.43,218691.0,16822.0,84.0,"An extremely fast Python type checker and language server, written in Rust.",6583.0,6583.0,45.0,35,True,1,
5,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-06-04 02:18:48,2026-06-04 02:18:46,16763,602.0,1413,170,6620,282,1069,22095,,,985.0,65.0,1.0,A Python Interpreter written in Rust.,896.0,896.0,497.0,33,True,1,
6,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-06-04 08:53:21,2026-06-04 08:40:38,3225,334.0,526,30,3436,506,1967,7237,2026-06-03 13:43:42,0.70.1,6282504.0,232685.0,100.0,"Powerful system-level package manager for Linux, macOS and Windows written in Rust building on top of the Conda..",5.0,5.0,270.0,33,True,2,
7,memray,bloomberg/memray,['written-in-cpp'],profilers,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2026-05-26 22:53:47,2026-05-26 22:53:46,1472,49.0,449,61,565,29,244,15076,2026-04-08 17:49:48,1.19.3,,,34.0,Memray is a memory profiler for Python.,2157.0,2157.0,71.0,30,True,1,
8,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,https://github.com/facebook/pyrefly,https://github.com/facebook/pyrefly,MIT,2025-02-19 21:09:33,2026-06-04 18:56:17,2026-06-04 18:52:31,13573,1928.0,389,21,1305,493,1845,6603,2026-05-12 20:13:51,1.0.0,1527.0,127.0,54.0,A fast type checker and language server for Python.,,,259.0,30,True,2,
9,granian,emmett-framework/granian,['written-in-rust'],web-servers,https://github.com/emmett-framework/granian,https://github.com/emmett-framework/granian,BSD-3-Clause,2022-04-15 16:41:30,2026-06-02 07:12:12,2026-05-28 10:52:00,801,17.0,156,39,396,34,312,5396,2026-05-28 15:25:43,2.7.5,,,100.0,A Rust HTTP server for Python applications.,1251.0,1251.0,47.0,27,True,1,
