,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2026-05-21 18:57:11,2026-05-21 18:57:08,9169,683.0,3138,168,10491,2328,6631,85296,2026-05-18 19:59:13,0.11.15,92735856.0,7727988.0,100.0,"An extremely fast Python package and project manager, written in Rust.",17026.0,17026.0,547.0,45,True,1,
1,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-05-21 18:58:18,2026-05-21 18:30:48,15307,1101.0,2096,102,16544,1676,6342,47636,2026-05-21 14:35:54,0.15.14,5695267.0,258875.0,100.0,"An extremely fast Python linter and code formatter, written in Rust.",189909.0,189909.0,878.0,44,True,1,
2,cython,cython/cython,['written-in-cpp'],compilers,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-05-21 15:17:57,2026-05-21 15:15:13,20262,205.0,1583,231,3497,1348,2835,10734,2026-01-04 13:13:45,3.2.4,493771.0,9316.0,57.0,The most widely used Python to C compiler.,215539.0,215539.0,586.0,43,True,1,
3,maturin,PyO3/maturin,['written-in-rust'],build-tools,https://github.com/PyO3/maturin,https://github.com/PyO3/maturin,Apache-2.0,2018-07-21 21:27:46,2026-05-20 14:39:13,2026-05-20 14:39:12,4011,121.0,402,31,2096,35,824,5605,2026-05-11 06:54:20,1.13.3,7011066.0,163048.0,100.0,"Build and publish crates with pyo3, cffi and uniffi bindings as well as rust binaries as python packages.",5902.0,5902.0,213.0,36,True,1,
4,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-05-20 09:16:17,2026-05-20 09:16:14,486,98.0,292,54,541,774,2187,18705,2026-05-20 00:16:26,0.0.38,245948.0,20495.0,79.0,"An extremely fast Python type checker and language server, written in Rust.",6076.0,6076.0,44.0,35,True,1,
5,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-05-21 18:53:35,2026-05-21 18:53:35,16679,706.0,1410,171,6527,284,1062,22060,,,841.0,60.0,1.0,A Python Interpreter written in Rust.,896.0,896.0,496.0,33,True,1,
6,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-05-21 16:39:15,2026-05-21 14:37:20,3167,308.0,518,30,3359,595,1852,7151,2026-05-21 09:38:24,0.69.0,5959262.0,220713.0,100.0,"Powerful system-level package manager for Linux, macOS and Windows written in Rust building on top of the Conda..",5.0,5.0,268.0,33,True,2,
7,memray,bloomberg/memray,['written-in-cpp'],profilers,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2026-05-21 03:35:36,2026-05-21 03:35:36,1470,48.0,448,61,563,31,241,15043,2026-04-08 17:49:48,1.19.3,,,34.0,Memray is a memory profiler for Python.,2124.0,2124.0,71.0,30,True,1,1.0
8,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,https://github.com/facebook/pyrefly,https://github.com/facebook/pyrefly,MIT,2025-02-19 21:09:33,2026-05-21 18:52:46,2026-05-21 18:50:03,13293,2020.0,377,21,1244,464,1779,6377,2026-05-12 20:13:51,1.0.0,1134.0,103.0,53.0,A fast type checker and language server for Python.,,,247.0,30,True,2,
9,granian,emmett-framework/granian,['written-in-rust'],web-servers,https://github.com/emmett-framework/granian,https://github.com/emmett-framework/granian,BSD-3-Clause,2022-04-15 16:41:30,2026-04-23 11:08:37,2026-04-23 10:39:24,795,16.0,154,39,392,34,310,5360,2026-04-23 12:28:01,2.7.4,,,100.0,A Rust HTTP server for Python applications.,1209.0,1209.0,45.0,27,True,1,
