,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition
0,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2025-10-09 17:54:18,2025-10-09 13:24:20,12385,972,1563,92,12834,1548,5760,42948,2025-10-07 18:29:02,0.14.0,2627072,125098,100,"An extremely fast Python linter and code formatter, written in Rust.",126661,126661,730,44,True,1,True
1,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2025-10-09 18:17:36,2025-10-09 17:38:18,7638,716,2086,128,8442,2049,5690,69493,2025-10-07 23:45:56,0.9.0,42377254,3852477,100,"An extremely fast Python package and project manager, written in Rust.",6,6,451,38,True,1,True
2,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2025-10-07 11:55:05,2025-10-07 11:55:03,204,55,124,52,225,403,698,12788,,,23926,4785,28,"An extremely fast Python type checker and language server, written in Rust.",328,328,23,27,True,1,True
