,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2026-06-25 19:43:41,2026-06-25 19:43:39,9418,611.0,3228,172,10844,2358,6716,86768,2026-06-23 21:16:31,0.11.24,100303199.0,8358599.0,100.0,"An extremely fast Python package and project manager, written in Rust.",17791.0,17791.0,562.0,46,True,1,
1,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-06-25 19:29:40,2026-06-25 18:52:14,15905,1209.0,2175,104,17538,1674,6427,48225,2026-06-25 17:21:46,0.15.20,5853792.0,266081.0,100.0,"An extremely fast Python linter and code formatter, written in Rust.",203230.0,203230.0,911.0,44,True,1,
2,cython,cython/cython,['written-in-cpp'],compilers,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-06-24 17:48:28,2026-06-24 17:44:31,20381,244.0,1583,231,3548,1345,2849,10777,2026-06-24 16:21:55,3.2.6,407850.0,7552.0,60.0,The most widely used Python to C compiler.,216160.0,216160.0,588.0,42,True,1,-1.0
3,maturin,PyO3/maturin,['written-in-rust'],build-tools,https://github.com/PyO3/maturin,https://github.com/PyO3/maturin,Apache-2.0,2018-07-21 21:27:46,2026-06-25 15:16:15,2026-06-25 15:16:14,4046,94.0,411,32,2130,38,835,5667,2026-06-19 05:03:56,1.14.1,7733351.0,175757.0,100.0,"Build and publish crates with pyo3, cffi and uniffi bindings as well as rust binaries as python packages.",6171.0,6171.0,218.0,36,True,1,
4,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-06-25 18:32:07,2026-06-25 17:29:01,543,106.0,308,52,614,801,2437,19036,2026-06-25 17:58:29,0.0.54,138125.0,10625.0,95.0,"An extremely fast Python type checker and language server, written in Rust.",7382.0,7382.0,47.0,35,True,1,
5,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-06-25 13:35:04,2026-06-25 13:35:04,16875,561.0,1417,168,6738,285,1073,22142,,,1165.0,77.0,1.0,A Python Interpreter written in Rust.,896.0,896.0,499.0,33,True,1,
6,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-06-25 16:28:34,2026-06-25 15:18:19,3332,369.0,531,29,3558,502,2011,7334,2026-06-25 16:27:29,0.71.1,6106589.0,234868.0,100.0,"Powerful system-level package manager for Linux, macOS and Windows written in Rust building on top of the Conda..",5.0,5.0,274.0,33,True,2,
7,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,https://github.com/facebook/pyrefly,https://github.com/facebook/pyrefly,MIT,2025-02-19 21:09:33,2026-06-25 18:12:58,2026-06-25 18:10:01,13990,1746.0,415,21,1414,535,1944,6709,2026-06-18 23:46:43,1.1.1,2530.0,210.0,57.0,A fast type checker and language server for Python.,,,275.0,31,True,2,
8,memray,bloomberg/memray,['written-in-cpp'],profilers,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2026-06-24 00:22:33,2026-06-12 00:32:24,1474,38.0,451,61,573,30,244,15130,2026-04-08 17:49:48,1.19.3,,,34.0,Memray is a memory profiler for Python.,2201.0,2201.0,71.0,29,True,1,
9,robyn,sparckles/Robyn,['written-in-rust'],web-servers,https://github.com/sparckles/Robyn,https://github.com/sparckles/Robyn,BSD-2-Clause,2021-06-18 09:32:00,2026-06-25 03:15:53,2026-06-25 01:00:17,833,45.0,333,50,801,49,545,7266,2026-06-25 01:01:15,0.88.0,,,100.0,Robyn is a Super Fast Async Python Web Framework with a Rust runtime.,255.0,255.0,90.0,27,True,1,1.0
