,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-01-08 18:10:15,2026-01-08 17:27:28,13509,1110,1680,93,14156,1642,5983,45025,2025-12-18 19:37:41,0.14.10,3571867,162357,100,"An extremely fast Python linter and code formatter, written in Rust.",137927,137927,773,44,True,1
1,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2026-01-08 17:46:41,2026-01-08 16:57:37,8094,448,2409,144,9008,2234,6081,76542,2026-01-06 10:52:01,0.9.22,90996050,7583004,100,"An extremely fast Python package and project manager, written in Rust.",13373,13373,498,43,True,1
2,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-01-08 13:04:55,2026-01-08 13:02:11,2759,239,396,26,2791,505,1623,6056,2025-12-22 09:41:23,0.62.2,4248445,163401,100,Package management made easy.,5,5,228,33,True,3
3,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-01-08 11:00:13,2026-01-07 23:28:35,341,136,183,55,384,697,1318,16247,2026-01-07 23:10:38,0.0.10,62313,7789,51,"An extremely fast Python type checker and language server, written in Rust.",686,686,30,32,True,1
