,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2025-12-04 18:23:28,2025-12-04 17:45:18,7947.0,522.0,2282.0,143.0,8818.0,2168.0,5963.0,74226.0,2025-12-03 01:34:07,0.9.15,65016983.0,5910634.0,100.0,"An extremely fast Python package and project manager, written in Rust.",13075.0,13075.0,483.0,43,True,1.0,
1,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2025-12-04 09:03:09,2025-12-04 08:45:47,250.0,64.0,139.0,51.0,278.0,510.0,970.0,13801.0,,,41946.0,5992.0,38.0,"An extremely fast Python type checker and language server, written in Rust.",488.0,488.0,28.0,28,True,1.0,
2,ruff,astral-sh/ruff,['written-in-rust'],linters,,,,,,,,,,,,,,,,,,,,,,,,0,False,,-44.0
