,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,uv,astral-sh/uv,['written-in-rust'],package-managers,https://github.com/astral-sh/uv,https://github.com/astral-sh/uv,Apache-2.0,2023-10-02 20:24:11,2026-02-05 18:40:47,2026-02-05 17:52:18,8379,589.0,2516,148,9369,2305,6165,78651,2026-02-04 21:49:01,0.9.30,91765986.0,7647165.0,100.0,"An extremely fast Python package and project manager, written in Rust.",14460.0,14460.0,507.0,44,True,1,44.0
1,ruff,astral-sh/ruff,['written-in-rust'],linters,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2026-02-05 18:40:05,2026-02-05 18:16:40,13971,1238.0,1738,93,14694,1648,6068,45595,2026-02-03 17:55:25,0.15.0,3873599.0,176072.0,100.0,"An extremely fast Python linter and code formatter, written in Rust.",149387.0,149387.0,798.0,44,True,1,
2,cython,cython/cython,['written-in-cpp'],compilers,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-02-05 11:17:38,2026-02-05 11:17:25,19987,325.0,1578,231,3344,1325,2805,10603,2026-01-04 13:13:45,3.2.4,405043.0,8100.0,57.0,The most widely used Python to C compiler.,213373.0,213373.0,581.0,42,True,1,-1.0
3,maturin,PyO3/maturin,['written-in-rust'],build-tools,https://github.com/PyO3/maturin,https://github.com/PyO3/maturin,Apache-2.0,2018-07-21 21:27:46,2026-02-05 11:00:10,2026-02-05 11:00:10,3830,94.0,372,32,1932,91,712,5358,2026-01-09 11:06:09,1.11.5,5296155.0,129174.0,100.0,"Build and publish crates with pyo3, cffi and uniffi bindings as well as rust binaries as python packages.",5030.0,5030.0,197.0,36,True,1,
4,RustPython,RustPython/RustPython,['written-in-rust'],interpreters,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-02-05 16:14:55,2026-02-05 16:14:55,15713,918.0,1372,172,5651,275,1020,21756,,,1675.0,119.0,43.0,A Python Interpreter written in Rust.,891.0,891.0,479.0,35,True,1,1.0
5,ty,astral-sh/ty,['written-in-rust'],type-checkers,https://github.com/astral-sh/ty,https://github.com/astral-sh/ty,MIT,2025-05-02 16:37:51,2026-02-05 14:26:52,2026-02-05 14:26:48,373,148.0,208,52,418,714,1594,17030,2026-02-05 01:07:57,0.0.15,136143.0,15127.0,56.0,"An extremely fast Python type checker and language server, written in Rust.",2186.0,2186.0,35.0,34,True,1,
6,pixi,prefix-dev/pixi,['written-in-rust'],package-managers,https://github.com/prefix-dev/pixi,https://github.com/prefix-dev/pixi,BSD-3-Clause,2023-04-28 10:51:16,2026-02-05 17:44:41,2026-02-05 15:51:50,2827,234.0,425,26,2887,560,1664,6307,2026-01-19 15:43:02,0.63.2,4113753.0,152361.0,100.0,Package management made easy.,5.0,5.0,238.0,33,True,2,
7,memray,bloomberg/memray,['written-in-cpp'],profilers,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2026-01-22 22:41:26,2026-01-22 22:41:26,1419,14.0,429,58,507,43,217,14837,2025-10-16 01:34:49,1.19.1,,,32.0,Memray is a memory profiler for Python.,1860.0,1860.0,61.0,29,True,1,
8,pyrefly,facebook/pyrefly,['written-in-rust'],type-checkers,https://github.com/facebook/pyrefly,https://github.com/facebook/pyrefly,MIT,2025-02-19 21:09:33,2026-02-05 18:41:37,2026-02-05 18:39:39,10774,1880.0,265,19,694,375,1222,5285,2026-02-03 15:33:37,0.51.0,,,32.0,A fast type checker and language server for Python.,,,184.0,28,True,2,
9,rye,astral-sh/rye,['written-in-rust'],package-managers,https://github.com/astral-sh/rye,https://github.com/astral-sh/rye,MIT,2023-04-22 22:23:54,2026-02-05 00:39:05,2025-08-18 16:52:35,838,,464,59,588,310,372,14305,2025-02-26 23:56:38,0.44.0,4706890.0,142633.0,48.0,a Hassle-Free Python Experience.,1.0,1.0,111.0,26,True,3,
